Fecha,Cierre
05.04.2026,595
29.03.2026,598.25
22.03.2026,605
15.03.2026,595.25
08.03.2026,618.5
01.03.2026,611.25
22.02.2026,591.25
15.02.2026,573.5
08.02.2026,548.5
01.02.2026,539
25.01.2026,546
18.01.2026,529.5
11.01.2026,518
04.01.2026,517.25
28.12.2025,506.5
21.12.2025,519
14.12.2025,509.75
07.12.2025,534.5
30.11.2025,537.5
23.11.2025,531
16.11.2025,539.75
09.11.2025,541.5
02.11.2025,542.25
26.10.2025,534
19.10.2025,512.5
12.10.2025,503.75
05.10.2025,498.5
28.09.2025,515.25
21.09.2025,519.75
14.09.2025,522.5
07.09.2025,503
31.08.2025,501
24.08.2025,518
17.08.2025,504.75
10.08.2025,527
03.08.2025,535
27.07.2025,537
20.07.2025,558.25
13.07.2025,546.25
06.07.2025,540.75
29.06.2025,547.75
22.06.2025,540.75
15.06.2025,583.5
08.06.2025,559.25
01.06.2025,568.75
25.05.2025,534
18.05.2025,542.5
11.05.2025,525
04.05.2025,505.5
27.04.2025,526.5
20.04.2025,545
13.04.2025,562.25
06.04.2025,570.25
30.03.2025,542.75
23.03.2025,542.75
16.03.2025,558.25
09.03.2025,545.75
02.03.2025,533.75
23.02.2025,537
16.02.2025,604
09.02.2025,613.5
02.02.2025,595.5
26.01.2025,559.5
19.01.2025,544
12.01.2025,538.75
05.01.2025,530.75
29.12.2024,529.25
22.12.2024,546.5
15.12.2024,533
08.12.2024,526.5
01.12.2024,542.5
24.11.2024,532.25
17.11.2024,564.75
10.11.2024,554
03.11.2024,587.5
27.10.2024,568
20.10.2024,569
13.10.2024,572.75
06.10.2024,599
29.09.2024,589.75
22.09.2024,580
15.09.2024,568.5
08.09.2024,571.25
01.09.2024,553.25
25.08.2024,532.75
18.08.2024,528
11.08.2024,552.5
04.08.2024,565.75
28.07.2024,562.25
21.07.2024,523.5
14.07.2024,542.75
07.07.2024,538
30.06.2024,572.25
23.06.2024,553.5
16.06.2024,575.75
09.06.2024,628.5
02.06.2024,649.25
26.05.2024,678.5
19.05.2024,697.25
12.05.2024,651.25
05.05.2024,645.75
28.04.2024,606
21.04.2024,603.25
14.04.2024,566.75
07.04.2024,570.75
31.03.2024,567.25
24.03.2024,560.25
17.03.2024,554.75
10.03.2024,528.5
03.03.2024,526.75
25.02.2024,560
18.02.2024,569
11.02.2024,559
04.02.2024,599.25
28.01.2024,599.75
21.01.2024,600.25
14.01.2024,593.25
07.01.2024,596
31.12.2023,616
24.12.2023,628
17.12.2023,616.25
10.12.2023,629.25
03.12.2023,631.75
26.11.2023,602.75
19.11.2023,577.25
12.11.2023,550.75
05.11.2023,575.25
29.10.2023,572.5
22.10.2023,575.5
15.10.2023,586
08.10.2023,579.75
01.10.2023,568.25
24.09.2023,541.5
17.09.2023,579.5
10.09.2023,604.25
03.09.2023,595.75
27.08.2023,595.5
20.08.2023,593.25
13.08.2023,613.25
06.08.2023,626.75
30.07.2023,633
23.07.2023,704.25
16.07.2023,697.5
09.07.2023,661.5
02.07.2023,649.5
25.06.2023,651
18.06.2023,733.25
11.06.2023,688
04.06.2023,630.25
28.05.2023,619
21.05.2023,616
14.05.2023,605
07.05.2023,635
30.04.2023,660.25
23.04.2023,633.75
16.04.2023,661.75
09.04.2023,682.5
02.04.2023,675.5
26.03.2023,692.25
19.03.2023,688.5
12.03.2023,710.5
05.03.2023,679.25
26.02.2023,708.75
19.02.2023,708.25
12.02.2023,765.5
05.02.2023,786
29.01.2023,756.75
22.01.2023,750
15.01.2023,741.5
08.01.2023,743.75
01.01.2023,743.5
25.12.2022,792
18.12.2022,776
11.12.2022,753.5
04.12.2022,734.25
27.11.2022,761
20.11.2022,775.5
13.11.2022,803.25
06.11.2022,813.75
30.10.2022,847.75
23.10.2022,829.25
16.10.2022,850.75
09.10.2022,859.75
02.10.2022,880.25
25.09.2022,921.5
18.09.2022,880.5
11.09.2022,859.75
04.09.2022,869.5
28.08.2022,811
21.08.2022,784.75
14.08.2022,753.25
07.08.2022,806
31.07.2022,775.75
24.07.2022,807.75
17.07.2022,759
10.07.2022,794
03.07.2022,891.5
26.06.2022,846
19.06.2022,923.75
12.06.2022,"1,034.25"
05.06.2022,"1,070.75"
29.05.2022,"1,040.00"
22.05.2022,"1,157.50"
15.05.2022,"1,168.75"
08.05.2022,"1,177.50"
01.05.2022,"1,109.50"
24.04.2022,"1,055.25"
17.04.2022,"1,065.50"
10.04.2022,"1,096.50"
03.04.2022,"1,051.50"
27.03.2022,984.5
20.03.2022,"1,102.25"
13.03.2022,"1,063.75"
06.03.2022,"1,090.00"
27.02.2022,"1,348.00"
20.02.2022,843
13.02.2022,797
06.02.2022,797.75
30.01.2022,763.25
23.01.2022,786.25
16.01.2022,780
09.01.2022,741.5
02.01.2022,758.5
26.12.2021,770.75
19.12.2021,814.75
12.12.2021,775
05.12.2021,782
28.11.2021,794.5
21.11.2021,825.5
14.11.2021,823
07.11.2021,817
31.10.2021,766.5
24.10.2021,772.75
17.10.2021,757.9
10.10.2021,733.8
03.10.2021,733.3
26.09.2021,757.9
19.09.2021,723.1
12.09.2021,707.1
05.09.2021,688.4
29.08.2021,726.6
22.08.2021,718.9
15.08.2021,715
08.08.2021,762
01.08.2021,720
25.07.2021,703.5
18.07.2021,679.4
11.07.2021,693.9
04.07.2021,614.5
27.06.2021,651.25
20.06.2021,634.8
13.06.2021,661.9
06.06.2021,680.6
30.05.2021,684.9
23.05.2021,664
16.05.2021,672.5
09.05.2021,707.9
02.05.2021,763
25.04.2021,735.3
18.04.2021,712.8
11.04.2021,652.8
04.04.2021,638.8
28.03.2021,608.4
21.03.2021,614.9
14.03.2021,626.8
07.03.2021,638.1
28.02.2021,655
21.02.2021,659.6
14.02.2021,653.12
07.02.2021,637.75
31.01.2021,641.38
24.01.2021,662.5
17.01.2021,635
10.01.2021,675
03.01.2021,638.5
27.12.2020,641.75
20.12.2020,627.1
13.12.2020,607.88
06.12.2020,616.8
29.11.2020,576.5
22.11.2020,595.75
15.11.2020,592.88
08.11.2020,592.88
01.11.2020,601.88
25.10.2020,598.5
18.10.2020,634.5
11.10.2020,626.12
04.10.2020,592.38
27.09.2020,573.12
20.09.2020,544.12
13.09.2020,577.12
06.09.2020,542.75
30.08.2020,551.38
23.08.2020,539
16.08.2020,526.75
09.08.2020,500.12
02.08.2020,496.12
26.07.2020,531
19.07.2020,540
12.07.2020,535.38
05.07.2020,534.88
28.06.2020,486.5
21.06.2020,473.62
14.06.2020,481.38
07.06.2020,501.38
31.05.2020,515.38
24.05.2020,521.62
17.05.2020,508.62
10.05.2020,499.62
03.05.2020,522.88
26.04.2020,515.38
19.04.2020,530
12.04.2020,535.38
05.04.2020,558.25
29.03.2020,551.12
22.03.2020,572.88
15.03.2020,540.5
08.03.2020,505.5
01.03.2020,513.5
23.02.2020,525.25
16.02.2020,551.75
09.02.2020,544.62
02.02.2020,559.12
26.01.2020,553.38
19.01.2020,571.75
12.01.2020,570.88
